APNXId,displayName,dataProvider,DataCost,MinCPM,PercentOfMedia,subtype
141730,Auto:Buyers:Make:Chrysler:Town and Coun,exelate,1,null,null,null
141731,Auto:Buyers:Make:Dodge:Caliber,exelate,1,null,null,null
141732,Auto:Buyers:Make:Dodge:Challenger,exelate,1,null,null,null
141733,Auto:Buyers:Make:Dodge:Charger,exelate,1,null,null,null
141734,Auto:Buyers:Make:Dodge:Dakota,exelate,1,null,null,null
141735,Auto:Buyers:Make:Dodge:Durango,exelate,1,null,null,null
141736,Auto:Buyers:Make:Dodge:Grand Caravan,exelate,1,null,null,null
141737,Auto:Buyers:Make:Dodge:Journey,exelate,1,null,null,null
141738,Auto:Buyers:Make:Dodge:Nitro,exelate,1,null,null,null
141739,Auto:Buyers ~ Make:Dodge:Ram 1500,exelate,1,null,null,null
141740,Auto:Buyers:Make:Dodge:Sprinter,exelate,1,null,null,null
141741,Auto:Buyers:Make:Ford:Econoline,exelate,1,null,null,null
141742,Auto:Buyers:Make:Ford:Edge,exelate,1,null,null,null
141743,Auto:Buyers:Make:Ford:Escape,exelate,1,null,null,null
141744,Auto:Buyers:Make:Ford:Expedition,exelate,1,null,null,null
141745,Auto:Buyers:Make:Ford:Explorer,exelate,1,null,null,null
141746,Auto:Buyers:Make:Ford:F Series,exelate,1,null,null,null
141747,Auto:Buyers:Make:Ford:Focus,exelate,1,null,null,null
141748,Auto:Buyers:Make:Ford:Mustang,exelate,1,null,null,null
141749,Auto:Buyers:Make:Ford:Ranger,exelate,1,null,null,null
141750,Auto:Buyers:Make:Ford:Super Duty,exelate,1,null,null,null
141751,Auto:Buyers:Make:GMC:Envoy,exelate,1,null,null,null
141752,Auto:Buyers:Make:GMC:Savana,exelate,1,null,null,null
141753,Auto:Buyers:Make:Gmc:Sierra,exelate,1,null,null,null
141754,Auto:Buyers:Make:Honda:Accord,exelate,1,null,null,null
141755,Auto:Buyers:Make:Honda:Civic,exelate,1,null,null,null
